band,wavelength_nm,2018,2025,Both years
282,2070,0.21172055014565125,0.25638336622308844,0.24337534274670447
283,2080,0.2135512080460951,0.2633436208936741,0.2501949931964809
284,2080,0.23608941342168047,0.2842520968630473,0.2754971782211758
285,2090,0.24726319018594095,0.2900950331389617,0.2869928189542753
286,2090,0.24627177500833497,0.28594750513725253,0.2856571312675553
287,2100,0.26853300358513105,0.30880230115150165,0.3117608869629927
288,2100,0.2728185630305214,0.30282408182837695,0.3117197704477827
289,2110,0.2533576653739689,0.28454313344271337,0.2931319739754018
290,2110,0.2499606845394363,0.2737291908616754,0.288078229702246
291,2120,0.24500027231639923,0.2627229397359943,0.2756759665764339
292,2120,0.2529345049147588,0.27577531469533345,0.2889881944614522
293,2130,0.23608690832319254,0.25379793755930136,0.2681824282814889
294,2130,0.21218147672771587,0.22742422900307968,0.24067439825954667
295,2140,0.19405235973702967,0.20526522509377748,0.21955113965452328
296,2140,0.18866925549456254,0.19469617986726465,0.20515443799661942
297,2150,0.17213899762133666,0.17128995705709,0.18107891083567565
298,2150,0.18354995135861765,0.1709822362761195,0.18167174335908076
299,2160,0.2091846884142259,0.176370807835449,0.18672457672751347
300,2160,0.2090741509685149,0.1805843256231646,0.18846244097764334
301,2170,0.23150482582587897,0.20697133970062753,0.21209478876265703
302,2170,0.262606127182194,0.2378271188991453,0.23977938035375992
303,2180,0.31516563195421515,0.29992423005395785,0.29919364854126074
304,2180,0.34927622123114266,0.34669404752565003,0.34228229944211097
305,2190,0.523515280049216,0.5232398673646073,0.5169331002930831
306,2190,0.5681115518258035,0.5743562985936187,0.5704497928491726
307,2200,0.6269982228359556,0.6360807810455021,0.6397256399287763
308,2200,0.5554525062809575,0.5824363176300733,0.5878357248865892
309,2210,0.5027284391651271,0.5429318853382464,0.5526744727663172
310,2210,0.4424564693416427,0.4663757233404557,0.4876442128949558
311,2220,0.45266177905212834,0.43739800037016785,0.4602721415621258
312,2220,0.5084565557154423,0.40743643195609786,0.44941027575062353
313,2230,0.5368642174867037,0.40427011170030414,0.44626645681420346
314,2230,0.4430989306719472,0.3232255931075382,0.35746656444138203
315,2240,0.38505113890026704,0.2694527785821678,0.2982468747535041
316,2240,0.35200226289942244,0.24735857281201962,0.2693110631438795
317,2250,0.31624796481887946,0.21164541698921677,0.23410077137469934
318,2250,0.2954752113714854,0.19841582387711623,0.22177991755233892
319,2260,0.2320800029317913,0.16353772202483027,0.1842868089162223
320,2260,0.19425598132693594,0.1550162919931748,0.17263730437055058
321,2270,0.18412329662958343,0.15603318153958273,0.17632988624403342
322,2270,0.20223624703918194,0.18370900629704515,0.20438365854027415
323,2280,0.2040872804182846,0.18692786932624061,0.20791788292663926
324,2280,0.21447350083833125,0.19885860176966164,0.215717673157611
325,2290,0.2139997039976392,0.19276685851491224,0.20744350140637874
326,2290,0.2447623419164832,0.22572959835723586,0.23635343899056058
327,2300,0.2690892731809423,0.2467651467282596,0.25525003257112944
328,2300,0.297523072138795,0.2660009347406087,0.275758513608003
329,2310,0.30308275091610415,0.2675598685150177,0.27837728508915965
330,2310,0.26010108473563504,0.2400861291222082,0.24454753045940475
331,2320,0.26492283156230195,0.24569498905669881,0.2441943347106963
332,2320,0.256917623115217,0.23739642361872865,0.23439815435059655
333,2330,0.28360678999393646,0.2640622047232217,0.2578414500454809
334,2330,0.34426503785459106,0.3208120058363938,0.31546978874304354
335,2340,0.29682005657452626,0.2775010354128121,0.27143999942879304
336,2340,0.2792463174160568,0.24786241197544684,0.24571513970608844
337,2350,0.25731157818677897,0.23298248181096565,0.23046627363276556
338,2350,0.19125123411592282,0.16409958181595544,0.1654000308158329
339,2360,0.17320637734067837,0.1449509030120168,0.14841143797103826
340,2360,0.1605012880268082,0.1320825372928697,0.13768255897953813
341,2370,0.21095135429127782,0.15621677587897195,0.16670426185057138
342,2370,0.1494102098788444,0.11622736725908339,0.1240685497581963
343,2380,0.21498296240973047,0.1565727881599592,0.17085368775082177
344,2380,0.3758516796782024,0.23470595030049615,0.2637013646057185
345,2390,0.2735475039541231,0.18981795621873016,0.2083597223596432
346,2390,0.2997923742500471,0.20524514000436694,0.2275516337842717
347,2400,0.26820960692206564,0.19393390267335514,0.21152001134139417
348,2400,0.275503662533469,0.21237467623203413,0.23429507400458188
