band_number,wavelength_nm,delta,sd_diff,n_pairs
64,699,-0.0041805243701520615,0.01294218811405186,1057
65,704,-0.0041632873889927615,0.012573388823791077,1057
66,709,-0.004313739769648984,0.012210864178717093,1057
67,714,-0.004139431719262937,0.011867946721974993,1057
68,719,-0.004196469907863449,0.011517309934541134,1057
69,724,-0.004010793191456271,0.011187278346729498,1057
70,729,-0.004040965156157404,0.011008434501713132,1057
71,734,-0.004074881978821617,0.010840606912873686,1057
72,739,-0.004010976183041419,0.01078792953307983,1057
73,744,-0.0038181613435788156,0.010907782147272546,1057
74,749,-0.0036638725295437312,0.010809338108592347,1057
75,754,-0.0035982102875278116,0.010707852406902854,1057
76,759,-0.0034839408054640987,0.010083650380494658,1057
77,764,-0.003294235195042158,0.0107390383115379,1057
78,769,-0.0033525747993221953,0.010694809780995173,1057
79,774,-0.0033045804170169545,0.010553759952519172,1057
80,779,-0.0032901440937008336,0.010478874788230548,1057
81,785,-0.003194967834227414,0.010424321413543361,1057
82,790,-0.0031062460028752036,0.010375612792530072,1057
83,795,-0.003033781009675161,0.010337768059522886,1057
84,800,-0.002973168603488368,0.010305143174903102,1057
85,805,-0.0029048145243780583,0.010317463627424488,1057
86,810,-0.002836608233093901,0.010298021944177704,1057
87,815,-0.002773425532248703,0.01030185098374572,1057
88,820,-0.002732421300242456,0.010299318303485934,1057
89,825,-0.0026715085114681616,0.010256610770759842,1057
90,830,-0.0025757192611888823,0.010166299734027238,1057
91,835,-0.00251324620528148,0.010095839551604478,1057
92,840,-0.0024534220792198453,0.010051901778374528,1057
93,845,-0.0023987430061422925,0.010012360419575435,1057
94,850,-0.002332331960634853,0.009936143750121886,1057
95,855,-0.0023008003062152268,0.009861247553553346,1057
96,860,-0.0022544713758531633,0.009775738941759279,1057
97,865,-0.0021704066260317084,0.009666770125461518,1057
98,870,-0.002131400115215351,0.009538795350312552,1057
99,875,-0.002080998982455231,0.009427897638177068,1057
100,880,-0.0020285283003327595,0.009317885131348572,1057
101,885,-0.0020094380592798975,0.009237129535574703,1057
102,890,-0.0019519818728014132,0.009126348253466116,1057
103,895,-0.0019138558673875434,0.009017398664049771,1057
104,900,-0.001922335344290233,0.008935122044164844,1057
105,905,-0.0019895928462566807,0.008879538465906245,1057
106,910,-0.001973365314970968,0.008815195572571884,1057
107,915,-0.001944962664652168,0.00875782603653132,1057
108,920,-0.0019206525226511193,0.008703724351417405,1057
109,925,-0.0019160908475886048,0.008640451634906676,1057
110,930,-0.0019319870865514978,0.008578102137782397,1057
111,935,-0.0018363132853138019,0.008486044560775306,1057
112,940,-0.001810626553006452,0.008346494644489558,1057
113,945,-0.0017836358493256736,0.00824541452000079,1057
114,950,-0.001735025530052434,0.00806615483890249,1057
115,955,-0.0016842526217510838,0.0078579472136469,1057
116,960,-0.0016202229172903502,0.007641282497519269,1057
117,965,-0.0015447344452672006,0.007451961473431818,1057
